RANK,AZIENDA,TASSO DI CRESCITA,RICAVI 2014,RICAVI 2017,SETTORE,REGIONE,PRESENZE,SITO WEB
1,Buzzoole S.r.l.,217.617,137,4381,Pubblicità & marketing,Campania,,www.buzzoole.com
2,Kolinpharma S.p.A.,202.222,147,4063,Farmaceutica,Lombardia,,www.kolinpharma.com
3,Musement S.p.A.,197.101,340,8914,Viaggi & tempo libero,Lombardia,,www.musement.com/it
4,Unicoenergia S.r.l.,189.814,127,3095,Energia,Campania,,www.unicoenergia.com
5,Sarcos Wind S.r.l.,183.866,192,4388,Energia,Sardegna,,www.sarcoswind.it
6,Vmway S.r.l.,164.367,183,3376,Tecnologia,Lazio,,www.vmway.it
7,Plastrading S.r.l.,162.563,160,2892,Chimica,Veneto,,www.plastrading.it
8,Gaia S.p.A.,160.427,120,2124,Alimentari & bevande,Friuli Venezia Giulia,,www.gaia-glutenfree.com
9,Velotransport S.C.,158.862,105,1829,Trasporti & logistica,Piemonte,,www.velotransport.it
10,Rebecca S.r.l.,154.188,239,3917,E-commerce,Marche,,www.mobilirebecca.it
11,We Tech S.r.l.,148.932,188,2901,Tecnologia,Lombardia,,www.we-tech.com
12,Da.Dif. Consulting S.r.l.,144.449,126,1846,Servizi generali,Campania,,www.dadif.com
13,Società Cooperativa Sociale Integra,137.555,196,2623,Servizi generali,Piemonte,,n/a
14,Ds Glass S.r.l.,134.425,417,5375,Vendita al dettaglio & all'ingrosso,Campania,,www.dsglass.it
15,Hair Gallery Store S.r.l.,133.988,732,9376,E-commerce,Marche,,www.hair-gallery.it
16,Doctor Hail S.p.A.,131.997,504,6290,Servizi generali,Piemonte,,www.dottorgrandine.com
17,Xt Insulation S.p.A.,131.074,531,6557,Prodotti industriali,Emilia Romagna,,www.xtinsulation.it
18,Lapelle S.r.l.,130.982,1241,15294,Prodotti industriali,Veneto,,www.lapelleweb.it
19,Testa E Plebani S.r.l.,127.539,150,1764,Prodotti industriali,Lombardia,,www.testaeplebani.com
20,Metalfer Di Pio Mario S.r.l.,125.866,258,2976,Prodotti industriali,Piemonte,,www.metalfer.cuneo.it
21,Italfrutta Distribuzioni S.r.l.,125.422,512,5865,Alimentari & bevande,Lombardia,,www.italfruttadistribuzioni.it
22,Logimi S.r.l.,122.274,207,2271,Trasporti & logistica,Emilia Romagna,,www.logimi.it
23,Nova Facility S.r.l.,120.421,719,7700,Servizi generali,Veneto,,www.novafacility.it
